UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
35,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
36,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
37,Academic Activity Level:,academic_level,lkup_academic_activity_level,,,,,
38,Primary Insurance at Follow-up:,pri_payment,lkup_prim_src_pay,46235654,Primary insurance,Measurement,Clinical Observation,LOINC
39,Foreign Government//Specify:,pri_payment_ctry,lkup_ctry,,,,,
40,Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
41,Height//ST=,hgt_cm_i,lkup_field_stat_cd,,,,,
42,Height Percentile//Growth Percentiles//%ile,cdc_growth_hgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
43,Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
44,Weight//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
45,Weight Percentile//Growth Percentiles//%ile,cdc_growth_wgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
46,BMI:,bmi,,3038553,Body mass index,Measurement,Clinical Observation,LOINC
47,BMI://%ile,cdc_growth_bmi,,,,,,
48,New diabetes onset between last follow-up to the current follow-up:,diabetes_during,,,,,,
49,"If yes, insulin dependent:",insulin_dependent,,201254,Type 1 diabetes mellitus,Condition,Clinical Finding,SNOMED
50,Dialysis Since Last Follow-Up:,dial_ty,lkup_dial_mntdial,,,,,
51,Date Maintenance Dialysis Resumed:,resum_maint_dial_dt,,,,,,
52,"If Functioning, Most Recent Serum Creatinine:",creat,,,,,,
53,"If Functioning, Most Recent Serum Creatinine//ST=",creat_i,lkup_field_stat_cd,,,,,
54,Did patient have any acute rejection episodes during the follow-up period:,acute_rej_epi,lkup_acute_rej_epi_fol,4128371,Acute rejection of renal transplant,Condition,Clinical Finding,SNOMED
55,CMV IgG:,cmv_IgG,,3016816,Cytomegalovirus IgG Ab [Presence] in Serum,Measurement,Lab Test,LOINC
56,CMV IgM:,cmv_IgM,,3013332,Cytomegalovirus IgM Ab [Presence] in Serum,Measurement,Lab Test,LOINC
57,Post Transplant Malignancy:,malig,,,,,,
58,Donor Related:,malig_don_rel,,,,,,
59,Recurrence of Pre-Tx Tumor:,malig_pretx_tumor,,4097297,Recurrent tumor,Measurement,Clinical Finding,SNOMED
60,Post Tx De Novo Solid Tumor:,malig_denovo_tumor,,,,,,
61,De Novo Lymphoproliferative disease and Lymphoma:,malig_denovo_lymph,,42872948,Post transplant lymphoproliferative disorder,Observation,Morph Abnormality,SNOMED
62,Were any medications given during the follow-up period for maintenance:,immuno_maint_med,lkup_immuno_maint_response,4253378,Immunosuppressive therapy for transplant,Procedure,Procedure,SNOMED
63,PX ID-RECORD KEY,px_id,,,,,,
64,TRR ID-RECORD KEY,trr_id,,,,,,
65,Status,status,lkup_form_status,4138595,Status,Observation,Attribute,SNOMED
66,Add Date,add_dt,,,,,,
67,Change Date,chg_dt,,,,,,
68,Follow-up Provider Number,provider_num,,,,,,
69,**Is growth hormone therapy used during this followup period:,growth_hormone,,,,,,
70,**Cognitive Development:,cognitive_dev,lkup_cognitive_development,4137543,Cognitive developmental delay,Condition,Clinical Finding,SNOMED
71,**Motor Development:,motor_dev,lkup_motor_development,44804870,Motor developmental delay,Condition,Clinical Finding,SNOMED
72,**Date of Measurement:,measurement_dt,,4048365,Measurement,Measurement,Procedure,SNOMED
73,**Coronary Artery Disease Since Last Follow Up:,corart,,317576,Coronary arteriosclerosis,Condition,Clinical Finding,SNOMED
74,**Fracture in the past year (or since last follow-up):,frac_pastyr,,,,,,
75,**Specify Location and number of fractures//Spine-compression fracture:,frac_spine,,,,,,
76,**Spine-compression fracture//# of fractures:,frac_spine_num,,,,,,
77,**Specify Location and number of fractures//Extremity:,frac_extrem,,,,,,
78,**Extremity//# of fractures:,frac_extrem_num,,,,,,
79,**Specify Location and number of fractures//Other:,frac_other,,,,,,
80,**Other//# of fractures:,frac_other_num,,,,,,
81,**AVN (avascular necrosis):,avn,,4287786,Avascular necrosis of bone,Condition,Clinical Finding,SNOMED
82,Recovering OPO:,opo_ctr_cd,,,,,,
83,HIV Serology,HIV_Serology,lkup_serology_stat_fol,40758406,HIV status,Measurement,Clinical Observation,LOINC
84,HIV NAT,HIV_NAT,lkup_serology_stat_fol,4160613,HIV 1 nucleic acid assay,Measurement,Procedure,SNOMED
85,HbsAg,HbsAg,lkup_serology_stat_fol,3027726,Hepatitis B virus surface Ab [Titer] in Serum,Measurement,Lab Test,LOINC
86,HBV DNA,HBV_DNA,lkup_serology_stat_fol,3045140,Hepatitis B virus DNA [Mass/volume] in Serum,Measurement,Lab Test,LOINC
87,HBV Core Antibody,HBV_Core,lkup_serology_stat_fol,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,Lab Test,LOINC
88,HCV Serology,HCV_Serology,lkup_serology_stat_fol,3007685,Hepatitis C virus Ab [Units/volume] in Serum,Measurement,Lab Test,LOINC
89,HCV NAT,HCV_NAT,lkup_serology_stat_fol,4162833,Hepatitis C nucleic acid assay,Measurement,Procedure,SNOMED
90,"Primary Cause of Graft Failure//Other, Specify:",grf_fail_cause_ostxt,,,,,,
91,Primary Cause of Graft Failure:,grf_fail_cause_ty,lkup_ki_caus_grffail_fol,3042748,Cause of graft failure,Measurement,Clinical Observation,LOINC
92,Date of Failure:,grf_fail_dt,,,,,,
93,Graft Status:,grf_stat,,3043225,Functional status of graft,Measurement,Clinical Observation,LOINC
